chapter,method,turn_id,text,speaker,character
52,chapter_all_gpt-4o-mini_individual,2,"Wickham, indeed, had gone to her on their first arrival in      London; and had she been able to receive them into her house, they      would have taken up their abode with her.",Mr. Gardiner,Wickham
52,chapter_all_gpt-4o-mini_individual,2,"Wickham, indeed, had gone to her on their first arrival in      London; and had she been able to receive them into her house, they      would have taken up their abode with her.",Mr. Gardiner,Mrs. Younge
52,chapter_all_gpt-4o-mini_individual,2,"At length, however, our      kind friend procured the wished-for direction.",Mr. Gardiner,Mrs. Younge
52,chapter_all_gpt-4o-mini_individual,2,They were in ----      Street.,Mr. Gardiner,Wickham
52,chapter_all_gpt-4o-mini_individual,2,"He saw Wickham, and afterwards insisted on seeing Lydia.",Mr. Gardiner,Wickham
52,chapter_all_gpt-4o-mini_individual,2,"He saw Wickham, and afterwards insisted on seeing Lydia.",Mr. Gardiner,Lydia
52,chapter_all_gpt-4o-mini_individual,2,"His first object with her, he acknowledged, had been to persuade      her to quit her present disgraceful situation, and return to her      friends as soon as they could be prevailed on to receive her,      offering his assistance as far as it would go.",Mr. Gardiner,Lydia
52,chapter_all_gpt-4o-mini_individual,2,But he found Lydia      absolutely resolved on remaining where she was.,Mr. Gardiner,Lydia
52,chapter_all_gpt-4o-mini_individual,2,She cared for none      of her friends; she wanted no help of his; she would not hear of      leaving Wickham.,Mr. Gardiner,Lydia
52,chapter_all_gpt-4o-mini_individual,2,She cared for none      of her friends; she wanted no help of his; she would not hear of      leaving Wickham.,Mr. Gardiner,Wickham
52,chapter_all_gpt-4o-mini_individual,2,"She was sure they should be married some time or      other, and it did not much signify when.",Mr. Gardiner,Wickham
52,chapter_all_gpt-4o-mini_individual,2,"Since such were her      feelings, it only remained, he thought, to secure and expedite a      marriage, which, in his very first conversation with Wickham, he      easily learnt had never been _his_ design.",Mr. Gardiner,Lydia
52,chapter_all_gpt-4o-mini_individual,2,"Since such were her      feelings, it only remained, he thought, to secure and expedite a      marriage, which, in his very first conversation with Wickham, he      easily learnt had never been _his_ design.",Mr. Gardiner,Wickham
52,chapter_all_gpt-4o-mini_individual,2,He confessed himself      obliged to leave the regiment on account of some debts of honour      which were very pressing; and scrupled not to lay all the ill      consequences of Lydia’s flight on her own folly alone.,Mr. Gardiner,Lydia
52,chapter_all_gpt-4o-mini_individual,2,"He must go somewhere, but      he did not know where, and he knew he should have nothing to live      on.",Mr. Gardiner,Wickham
52,chapter_all_gpt-4o-mini_individual,2,Mr. Darcy asked why he did not marry your sister at once.,Mr. Gardiner,Wickham
52,chapter_all_gpt-4o-mini_individual,2,Mr. Darcy asked why he did not marry your sister at once.,Mr. Gardiner,Elizabeth
52,chapter_all_gpt-4o-mini_individual,2,Mr. Darcy asked why he did not marry your sister at once.,Mr. Gardiner,Mr. Darcy
52,chapter_all_gpt-4o-mini_individual,2,"Though Mr. Bennet was not imagined to be very rich, he would have      been able to do something for him, and his situation must have been      benefited by marriage.",Mr. Gardiner,Mr. Bennet
52,chapter_all_gpt-4o-mini_individual,2,"But he found, in reply to this question,      that Wickham still cherished the hope of more effectually making      his fortune by marriage, in some other country.",Mr. Gardiner,Wickham
52,chapter_all_gpt-4o-mini_individual,2,"Under such      circumstances, however, he was not likely to be proof against the      temptation of immediate relief.",Mr. Gardiner,Wickham
52,chapter_all_gpt-4o-mini_individual,2,"Wickham, of course, wanted more than he      could get; but at length was reduced to be reasonable.",Mr. Gardiner,Wickham
52,chapter_all_gpt-4o-mini_individual,2,"Everything      being settled between _them_, Mr. Darcy’s next step was to make      your uncle acquainted with it, and he first called in Gracechurch      Street the evening before I came home.",Mr. Gardiner,Mr. Darcy
52,chapter_all_gpt-4o-mini_individual,2,"But Mr. Gardiner could not      be seen; and Mr. Darcy found, on further inquiry, that your father      was still with him, but would quit town the next morning.",Mr. Gardiner,Mr. Bennet
52,chapter_all_gpt-4o-mini_individual,2,"But Mr. Gardiner could not      be seen; and Mr. Darcy found, on further inquiry, that your father      was still with him, but would quit town the next morning.",Mr. Gardiner,Mr. Gardiner
52,chapter_all_gpt-4o-mini_individual,2,"But Mr. Gardiner could not      be seen; and Mr. Darcy found, on further inquiry, that your father      was still with him, but would quit town the next morning.",Mr. Gardiner,Mr. Darcy
52,chapter_all_gpt-4o-mini_individual,2,"He did      not judge your father to be a person whom he could so properly      consult as your uncle, and therefore readily postponed seeing him      till after the departure of the former.",Mr. Gardiner,Mr. Bennet
52,chapter_all_gpt-4o-mini_individual,2,"He did not leave his name,      and till the next day it was only known that a gentleman had called      on business.",Mr. Gardiner,Mr. Darcy
52,chapter_all_gpt-4o-mini_individual,2,On Saturday he came again.,Mr. Gardiner,Mr. Darcy
52,chapter_all_gpt-4o-mini_individual,2,"They met again on Sunday, and then _I_ saw him too.",Mr. Gardiner,Mr. Darcy
52,chapter_all_gpt-4o-mini_individual,2,But our visitor was very obstinate.,Mr. Gardiner,Mr. Darcy
52,chapter_all_gpt-4o-mini_individual,2,"I      fancy, Lizzy, that obstinacy is the real defect of his character,      after all.",Mr. Gardiner,Elizabeth
52,chapter_all_gpt-4o-mini_individual,2,He has been accused of many faults at different times;      but _this_ is the true one.,Mr. Gardiner,Mr. Darcy
52,chapter_all_gpt-4o-mini_individual,2,"Nothing was to be done that he did not      do himself; though I am sure (and I do not speak it to be thanked,      therefore say nothing about it) your uncle would most readily have      settled the whole.",Mr. Gardiner,Mr. Darcy
52,chapter_all_gpt-4o-mini_individual,2,"They battled it together for a long time, which      was more than either the gentleman or lady concerned in it      deserved.",Mr. Gardiner,Mr. Darcy
52,chapter_all_gpt-4o-mini_individual,2,"But at last your uncle was forced to yield, and instead      of being allowed to be of use to his niece, was forced to put up      with only having the probable credit of it, which went sorely      against the grain; and I really believe your letter this morning      gave him great pleasure, because it required an explanation that      would rob him of his borrowed feathers, and give the praise where      it was due.",Mr. Gardiner,Elizabeth
52,chapter_all_gpt-4o-mini_individual,2,"But, Lizzy, this must go no further than yourself, or      Jane at most.",Mr. Gardiner,Elizabeth
52,chapter_all_gpt-4o-mini_individual,2,"But, Lizzy, this must go no further than yourself, or      Jane at most.",Mr. Gardiner,Jane
52,chapter_all_gpt-4o-mini_individual,2,"His debts are to be paid, amounting, I      believe, to considerably more than a thousand pounds, another      thousand in addition to her own settled upon _her_, and his      commission purchased.",Mr. Gardiner,Wickham
52,chapter_all_gpt-4o-mini_individual,2,"His debts are to be paid, amounting, I      believe, to considerably more than a thousand pounds, another      thousand in addition to her own settled upon _her_, and his      commission purchased.",Mr. Gardiner,Lydia
52,chapter_all_gpt-4o-mini_individual,2,"It was owing to him, to his      reserve and want of proper consideration, that Wickham’s character      had been so misunderstood, and consequently that he had been      received and noticed as he was.",Mr. Gardiner,Mr. Darcy
52,chapter_all_gpt-4o-mini_individual,2,"It was owing to him, to his      reserve and want of proper consideration, that Wickham’s character      had been so misunderstood, and consequently that he had been      received and noticed as he was.",Mr. Gardiner,Wickham
52,chapter_all_gpt-4o-mini_individual,2,"Perhaps there was some truth in      _this_; though I doubt whether _his_ reserve, or _anybody’s_      reserve can be answerable for the event.",Mr. Gardiner,Wickham
52,chapter_all_gpt-4o-mini_individual,2,"But in spite of all this      fine talking, my dear Lizzy, you may rest perfectly assured that      your uncle would never have yielded, if we had not given him credit      for _another interest_ in the affair.",Mr. Gardiner,Elizabeth
52,chapter_all_gpt-4o-mini_individual,2,"When all this was resolved      on, he returned again to his friends, who were still staying at      Pemberley; but it was agreed that he should be in London once more      when the wedding took place, and all money matters were then to      receive the last finish.",Mr. Gardiner,Mr. Darcy
52,chapter_all_gpt-4o-mini_individual,2,I believe I have now told you everything.,Mr. Gardiner,Elizabeth
52,chapter_all_gpt-4o-mini_individual,2,It is a relation which you tell me is to give you great surprise; I      hope at least it will not afford you any displeasure.,Mr. Gardiner,Elizabeth
52,chapter_all_gpt-4o-mini_individual,2,"Lydia came to      us, and Wickham had constant admission to the house.",Mr. Gardiner,Lydia
52,chapter_all_gpt-4o-mini_individual,2,"Lydia came to      us, and Wickham had constant admission to the house.",Mr. Gardiner,Wickham
52,chapter_all_gpt-4o-mini_individual,2,"_He_ was      exactly what he had been when I knew him in Hertfordshire; but I      would not tell you how little I was satisfied with _her_ behaviour      while she stayed with us, if I had not perceived, by Jane’s letter      last Wednesday, that her conduct on coming home was exactly of a      piece with it, and therefore what I now tell you can give you no      fresh pain.",Mr. Gardiner,Wickham
52,chapter_all_gpt-4o-mini_individual,2,"_He_ was      exactly what he had been when I knew him in Hertfordshire; but I      would not tell you how little I was satisfied with _her_ behaviour      while she stayed with us, if I had not perceived, by Jane’s letter      last Wednesday, that her conduct on coming home was exactly of a      piece with it, and therefore what I now tell you can give you no      fresh pain.",Mr. Gardiner,Lydia
52,chapter_all_gpt-4o-mini_individual,2,"_He_ was      exactly what he had been when I knew him in Hertfordshire; but I      would not tell you how little I was satisfied with _her_ behaviour      while she stayed with us, if I had not perceived, by Jane’s letter      last Wednesday, that her conduct on coming home was exactly of a      piece with it, and therefore what I now tell you can give you no      fresh pain.",Mr. Gardiner,Jane
52,chapter_all_gpt-4o-mini_individual,2,"I talked to her repeatedly in the most serious manner,      representing to her the wickedness of what she had done, and all      the unhappiness she had brought on her family.",Mr. Gardiner,Lydia
52,chapter_all_gpt-4o-mini_individual,2,"If she heard me, it      was by good luck, for I am sure she did not listen.",Mr. Gardiner,Lydia
52,chapter_all_gpt-4o-mini_individual,2,"I was sometimes      quite provoked; but then I recollected my dear Elizabeth and Jane,      and for their sakes had patience with her.",Mr. Gardiner,Elizabeth
52,chapter_all_gpt-4o-mini_individual,2,"I was sometimes      quite provoked; but then I recollected my dear Elizabeth and Jane,      and for their sakes had patience with her.",Mr. Gardiner,Jane
52,chapter_all_gpt-4o-mini_individual,2,"I was sometimes      quite provoked; but then I recollected my dear Elizabeth and Jane,      and for their sakes had patience with her.",Mr. Gardiner,Lydia
52,chapter_all_gpt-4o-mini_individual,2,"Mr. Darcy was punctual      in his return, and, as Lydia informed you, attended the wedding.",Mr. Gardiner,Mr. Darcy
52,chapter_all_gpt-4o-mini_individual,2,"Mr. Darcy was punctual      in his return, and, as Lydia informed you, attended the wedding.",Mr. Gardiner,Lydia
52,chapter_all_gpt-4o-mini_individual,2,"He      dined with us the next day, and was to leave town again on      Wednesday or Thursday.",Mr. Gardiner,Mr. Darcy
52,chapter_all_gpt-4o-mini_individual,2,"Will you be very angry with me, my dear      Lizzy, if I take this opportunity of saying (what I was never bold      enough to say before) how much I like him?",Mr. Gardiner,Elizabeth
52,chapter_all_gpt-4o-mini_individual,2,"Will you be very angry with me, my dear      Lizzy, if I take this opportunity of saying (what I was never bold      enough to say before) how much I like him?",Mr. Gardiner,Mr. Darcy
52,chapter_all_gpt-4o-mini_individual,2,"His understanding and opinions all please me; he wants nothing but      a little more liveliness, and _that_, if he marry _prudently_, his      wife may teach him.",Mr. Gardiner,Mr. Darcy
52,chapter_all_gpt-4o-mini_individual,2,"His understanding and opinions all please me; he wants nothing but      a little more liveliness, and _that_, if he marry _prudently_, his      wife may teach him.",Mr. Gardiner,Elizabeth
52,chapter_all_gpt-4o-mini_individual,2,I thought him very sly; he hardly ever      mentioned your name.,Mr. Gardiner,Mr. Darcy
52,chapter_all_gpt-4o-mini_individual,2,I thought him very sly; he hardly ever      mentioned your name.,Mr. Gardiner,Elizabeth
52,chapter_all_gpt-4o-mini_individual,2,But slyness seems the fashion.,Mr. Gardiner,Mr. Darcy
52,chapter_all_gpt-4o-mini_individual,2,"Pray forgive      me, if I have been very presuming, or at least do not punish me so      far as to exclude me from P. I shall never be quite happy till I      have been all round the park.",Mr. Gardiner,Mr. Darcy
52,chapter_all_gpt-4o-mini_individual,5,"I am afraid I interrupt your solitary ramble, my dear sister?",Wickham,Elizabeth
52,chapter_all_gpt-4o-mini_individual,9,Are the others coming out?,Wickham,Elizabeth
52,chapter_all_gpt-4o-mini_individual,10,Mrs. Bennet and Lydia are going in the carriage to Meryton.,Wickham,Mrs. Bennet
52,chapter_all_gpt-4o-mini_individual,10,Mrs. Bennet and Lydia are going in the carriage to Meryton.,Wickham,Lydia
52,chapter_all_gpt-4o-mini_individual,10,"And so, my dear sister, I find, from our uncle and aunt, that you have actually seen Pemberley.",Wickham,Elizabeth
52,chapter_all_gpt-4o-mini_individual,11,"I almost envy you the pleasure, and yet I believe it would be too much for me, or else I could take it in my way to Newcastle.",Wickham,Elizabeth
52,chapter_all_gpt-4o-mini_individual,11,"And you saw the old housekeeper, I suppose?",Wickham,Jane
52,chapter_all_gpt-4o-mini_individual,11,But of course she did not mention my name to you.,Wickham,Elizabeth
52,chapter_all_gpt-4o-mini_individual,14,"At such a distance as _that_, you know, things are strangely misrepresented.",Wickham,Elizabeth
52,chapter_all_gpt-4o-mini_individual,16,I was surprised to see Darcy in town last month.,Wickham,Mr. Darcy
52,chapter_all_gpt-4o-mini_individual,16,We passed each other several times.,Wickham,Mr. Darcy
52,chapter_all_gpt-4o-mini_individual,16,I wonder what he can be doing there.,Wickham,Mr. Darcy
52,chapter_all_gpt-4o-mini_individual,17,"Perhaps preparing for his marriage with Miss de Bourgh,",Elizabeth,Mr. Darcy
52,chapter_all_gpt-4o-mini_individual,18,It must be something particular to take him there at this time of year.,Elizabeth,Mr. Darcy
52,chapter_all_gpt-4o-mini_individual,19,Did you see him while you were at Lambton?,Wickham,Elizabeth
52,chapter_all_gpt-4o-mini_individual,19,Did you see him while you were at Lambton?,Wickham,Mr. Darcy
52,chapter_all_gpt-4o-mini_individual,19,I thought I understood from the Gardiners that you had.,Wickham,Elizabeth
52,chapter_all_gpt-4o-mini_individual,20,Yes; he introduced us to his sister.,Elizabeth,Mr. Darcy
52,chapter_all_gpt-4o-mini_individual,20,Yes; he introduced us to his sister.,Elizabeth,Miss Darcy
52,chapter_all_gpt-4o-mini_individual,21,And do you like her?,Wickham,Miss Darcy
52,chapter_all_gpt-4o-mini_individual,23,"I have heard, indeed, that she is uncommonly improved within this year or two.",Wickham,Miss Darcy
52,chapter_all_gpt-4o-mini_individual,23,"When I last saw her, she was not very promising.",Wickham,Mr. Darcy
52,chapter_all_gpt-4o-mini_individual,23,"When I last saw her, she was not very promising.",Wickham,Miss Darcy
52,chapter_all_gpt-4o-mini_individual,23,I am very glad you liked her.,Wickham,Miss Darcy
52,chapter_all_gpt-4o-mini_individual,23,I hope she will turn out well.,Wickham,Miss Darcy
52,chapter_all_gpt-4o-mini_individual,24,I dare say she will; she has got over the most trying age.,Wickham,Miss Darcy
52,chapter_all_gpt-4o-mini_individual,25,Did you go by the village of Kympton?,Wickham,Mr. Darcy
52,chapter_all_gpt-4o-mini_individual,25,Did you go by the village of Kympton?,Wickham,Elizabeth
52,chapter_all_gpt-4o-mini_individual,28,How should you have liked making sermons?,Wickham,Mr. Darcy
52,chapter_all_gpt-4o-mini_individual,29,Did you ever hear Darcy mention the circumstance when you were in Kent?,Wickham,Mr. Bennet
52,chapter_all_gpt-4o-mini_individual,29,Did you ever hear Darcy mention the circumstance when you were in Kent?,Wickham,Mr. Darcy
52,chapter_all_gpt-4o-mini_individual,30,"I _have_ heard from authority, which I thought _as good_, that it was left you conditionally only, and at the will of the present patron.",Elizabeth,Mr. Darcy
52,chapter_all_gpt-4o-mini_individual,31,"Yes, there was something in _that_; I told you so from the first, you may remember.",Wickham,Mr. Darcy
52,chapter_all_gpt-4o-mini_individual,32,"I _did_ hear, too, that there was a time when sermon-making was not so palatable to you as it seems to be at present; that you actually declared your resolution of never taking orders, and that the business had been compromised accordingly.",Elizabeth,Mr. Darcy
52,chapter_all_gpt-4o-mini_individual,34,"Come, Mr. Wickham, we are brother and sister, you know.",Elizabeth,Wickham
52,chapter_all_gpt-4o-mini_individual,34,"Come, Mr. Wickham, we are brother and sister, you know.",Elizabeth,Miss Darcy
46,chapter_all_gpt-4o-mini_individual,0,"Since writing the above, dearest Lizzy, something has occurred of a most unexpected and serious nature; but I am afraid of alarming you--be assured that we are all well.",Jane,Elizabeth
46,chapter_all_gpt-4o-mini_individual,0,What I have to say relates to poor Lydia.,Jane,Lydia
46,chapter_all_gpt-4o-mini_individual,0,"An express came at twelve last night, just as we were all gone to bed, from Colonel Forster, to inform us that she was gone off to Scotland with one of his officers; to own the truth, with Wickham!",Jane,Lydia
46,chapter_all_gpt-4o-mini_individual,0,"An express came at twelve last night, just as we were all gone to bed, from Colonel Forster, to inform us that she was gone off to Scotland with one of his officers; to own the truth, with Wickham!",Jane,Colonel Forster
46,chapter_all_gpt-4o-mini_individual,0,"An express came at twelve last night, just as we were all gone to bed, from Colonel Forster, to inform us that she was gone off to Scotland with one of his officers; to own the truth, with Wickham!",Jane,Wickham
46,chapter_all_gpt-4o-mini_individual,0,Imagine our surprise.,Jane,Lydia
46,chapter_all_gpt-4o-mini_individual,0,"To Kitty, however, it does not seem so wholly unexpected.",Jane,Kitty
46,chapter_all_gpt-4o-mini_individual,0,"But I am willing to hope the best, and that his character has been misunderstood.",Jane,Wickham
46,chapter_all_gpt-4o-mini_individual,0,"Thoughtless and indiscreet I can easily believe him, but this step (and let us rejoice over it) marks nothing bad at heart.",Jane,Wickham
46,chapter_all_gpt-4o-mini_individual,0,"His choice is disinterested at least, for he must know my father can give her nothing.",Jane,Wickham
46,chapter_all_gpt-4o-mini_individual,0,"His choice is disinterested at least, for he must know my father can give her nothing.",Jane,Mr. Bennet
46,chapter_all_gpt-4o-mini_individual,0,"His choice is disinterested at least, for he must know my father can give her nothing.",Jane,Lydia
46,chapter_all_gpt-4o-mini_individual,0,Our poor mother is sadly grieved.,Jane,Mrs. Bennet
46,chapter_all_gpt-4o-mini_individual,0,My father bears it better.,Jane,Mr. Bennet
46,chapter_all_gpt-4o-mini_individual,0,"How thankful am I, that we never let them know what has been said against him; we must forget it ourselves.",Jane,Wickham
46,chapter_all_gpt-4o-mini_individual,0,"They were off Saturday night about twelve, as is conjectured, but were not missed till yesterday morning at eight.",Jane,Lydia
46,chapter_all_gpt-4o-mini_individual,0,The express was sent off directly.,Jane,Mr. Bennet
46,chapter_all_gpt-4o-mini_individual,0,"My dear Lizzy, they must have passed within ten miles of us.",Jane,Elizabeth
46,chapter_all_gpt-4o-mini_individual,0,Colonel Forster gives us reason to expect him here soon.,Jane,Colonel Forster
46,chapter_all_gpt-4o-mini_individual,0,"Lydia left a few lines for his wife, informing her of their intention.",Jane,Lydia
46,chapter_all_gpt-4o-mini_individual,0,"Lydia left a few lines for his wife, informing her of their intention.",Jane,Colonel Forster
46,chapter_all_gpt-4o-mini_individual,0,"I must conclude, for I cannot be long from my poor mother.",Jane,Mrs. Bennet
46,chapter_all_gpt-4o-mini_individual,0,"I am afraid you will not be able to make it out, but I hardly know what I have written.",Jane,Elizabeth
46,chapter_all_gpt-4o-mini_individual,1,"By this time, my dearest sister, you have received my hurried letter; I wish this may be more intelligible, but though not confined for time, my head is so bewildered that I cannot answer for being coherent.",Jane,Elizabeth
46,chapter_all_gpt-4o-mini_individual,1,"Dearest Lizzy, I hardly know what I would write, but I have bad news for you, and it cannot be delayed.",Jane,Elizabeth
46,chapter_all_gpt-4o-mini_individual,1,"Imprudent as a marriage between Mr. Wickham and our poor Lydia would be, we are now anxious to be assured it has taken place, for there is but too much reason to fear they are not gone to Scotland.",Jane,Lydia
46,chapter_all_gpt-4o-mini_individual,1,"Imprudent as a marriage between Mr. Wickham and our poor Lydia would be, we are now anxious to be assured it has taken place, for there is but too much reason to fear they are not gone to Scotland.",Jane,Wickham
46,chapter_all_gpt-4o-mini_individual,1,"Colonel Forster came yesterday, having left Brighton the day before, not many hours after the express.",Jane,Colonel Forster
46,chapter_all_gpt-4o-mini_individual,1,"Though Lydia’s short letter to Mrs. F. gave them to understand that they were going to Gretna Green, something was dropped by Denny expressing his belief that W. never intended to go there, or to marry Lydia at all, which was repeated to Colonel F., who, instantly taking the alarm, set off from B., intending to trace their route.",Jane,Lydia
46,chapter_all_gpt-4o-mini_individual,1,"Though Lydia’s short letter to Mrs. F. gave them to understand that they were going to Gretna Green, something was dropped by Denny expressing his belief that W. never intended to go there, or to marry Lydia at all, which was repeated to Colonel F., who, instantly taking the alarm, set off from B., intending to trace their route.",Jane,Wickham
46,chapter_all_gpt-4o-mini_individual,1,"Though Lydia’s short letter to Mrs. F. gave them to understand that they were going to Gretna Green, something was dropped by Denny expressing his belief that W. never intended to go there, or to marry Lydia at all, which was repeated to Colonel F., who, instantly taking the alarm, set off from B., intending to trace their route.",Jane,Colonel Forster
46,chapter_all_gpt-4o-mini_individual,1,"He did trace them easily to Clapham, but no farther; for on entering that place, they removed into a hackney-coach, and dismissed the chaise that brought them from Epsom.",Jane,Colonel Forster
46,chapter_all_gpt-4o-mini_individual,1,"After making every possible inquiry on that side of London, Colonel F. came on into Hertfordshire, anxiously renewing them at all the turnpikes, and at the inns in Barnet and Hatfield, but without any success,--no such people had been seen to pass through.",Jane,Colonel Forster
46,chapter_all_gpt-4o-mini_individual,1,"With the kindest concern he came on to Longbourn, and broke his apprehensions to us in a manner most creditable to his heart.",Jane,Colonel Fitzwilliam
46,chapter_all_gpt-4o-mini_individual,1,I am sincerely grieved for him and Mrs. F.; but no one can throw any blame on them.,Jane,Colonel Forster
46,chapter_all_gpt-4o-mini_individual,1,"Our distress, my dear Lizzy, is very great.",Jane,Elizabeth
46,chapter_all_gpt-4o-mini_individual,1,"My father and mother believe the worst, but I cannot think so ill of him.",Jane,Mr. Bennet
46,chapter_all_gpt-4o-mini_individual,1,"My father and mother believe the worst, but I cannot think so ill of him.",Jane,Mrs. Bennet
46,chapter_all_gpt-4o-mini_individual,1,"My father and mother believe the worst, but I cannot think so ill of him.",Jane,Wickham
46,chapter_all_gpt-4o-mini_individual,1,"Many circumstances might make it more eligible for them to be married privately in town than to pursue their first plan; and even if _he_ could form such a design against a young woman of Lydia’s connections, which is not likely, can I suppose her so lost to everything?",Jane,Lydia
46,chapter_all_gpt-4o-mini_individual,1,"Many circumstances might make it more eligible for them to be married privately in town than to pursue their first plan; and even if _he_ could form such a design against a young woman of Lydia’s connections, which is not likely, can I suppose her so lost to everything?",Jane,Wickham
46,chapter_all_gpt-4o-mini_individual,1,"I grieve to find, however, that Colonel F. is not disposed to depend upon their marriage: he shook his head when I expressed my hopes, and said he feared W. was not a man to be trusted.",Jane,Wickham
46,chapter_all_gpt-4o-mini_individual,1,"My poor mother is really ill, and keeps her room.",Jane,Mrs. Bennet
46,chapter_all_gpt-4o-mini_individual,1,"Could she exert herself, it would be better, but this is not to be expected; and as to my father, I never in my life saw him so affected.",Jane,Mrs. Bennet
