chapter,method,character,mention
16,span-based,Grace Poole,"on her hard forehead, and in her commonplace features, was nothing either of the paleness or desperation one would have expected to see marking the countenance of a woman who had attempted murder, and whose intended victim had followed her last night to her lair."
16,span-based,Grace Poole,"I thought, ""No; impossible! my supposition cannot be correct. Yet...you are not beautiful either, and perhaps Mr. Rochester approves you: at any rate, you have often felt as if he did;"""
16,span-based,Grace Poole,"Mrs. Poole’s square, flat figure, and uncomely, dry, even coarse face, recurred so distinctly to my mind’s eye."
16,span-based,Grace Poole,"I should think there are very few servants, because master has never lived here much."
16,span-based,Grace Poole,"She appeared to be cross-questioning me, attempting to draw from me information unawares."
16,span-based,Grace Poole,"a long one for her, and uttered with the demureness of a Quakeress."
16,span-based,Blanche Ingram,"a tall, fine bust, sloping shoulders; long, graceful neck: olive complexion, dark and clear; noble features; eyes rather like Mr. Rochester’s: large and black, and as brilliant as her jewels."
16,span-based,Mary Ingram,"most beautiful women, I suppose."
16,span-based,Mr. Rochester,"he is so talented and so lively in society, that I believe he is a general favourite."
7,span-based,Miss Temple,"I can remember Miss Temple walking lightly and rapidly along our drooping line, her plaid cloak, which the frosty wind fluttered, gathered close about her."
7,span-based,Helen Burns,"I remember it now, and I know that it was the effluence of fine intellect, of true courage; it lit up her marked lineaments, her thin face, her sunken grey eye, like a reflection from the aspect of an angel."
7,span-based,Mr. Brocklehurst,"he was speaking low in her ear: I did not doubt he was making disclosures of my villainy; and I watched her eye with painful anxiety, expecting every moment to see its dark orb turn on me a glance of repugnance and contempt."
7,span-based,Mr. Brocklehurst,"he was buttoned up in a surtout, and looking longer, narrower, and more rigid than ever."
6,span-based,Helen Burns,Helen was talking to herself now: she had forgotten I could not very well understand her.
6,span-based,Helen Burns,"Helen’s head, always drooping, sank a little lower as she finished this sentence."
6,span-based,Helen Burns,the trace of a tear glistened on her thin cheek.
6,span-based,Miss Smith,"Miss Smith put into my hands a border of muslin two yards long, together with needle, thimble, &c."
6,span-based,Miss Temple,"At the utterance of Miss Temple’s name, a soft smile flitted over her grave face."
6,span-based,Miss Temple,"Miss Temple is full of goodness; it pains her to be severe to any one, even the worst in the school."
6,span-based,Mr. Brocklehurst,"if you did, Mr. Brocklehurst would expel you from the school."
17,span-based,Mrs. Fairfax,"Mrs. Fairfax assumed her best black satin gown, her gloves, and her gold watch; for it was her part to receive the company."
17,span-based,Grace Poole,"the form of Grace Poole, in prim cap, white apron, and handkerchief"
17,span-based,Grace Poole,"when I watched her glide along the gallery, her quiet tread muffled in a list slipper"
17,span-based,Dowager Lady Ingram,"her shape was still fine; her hair (by candle-light at least) still black; her teeth, too, were still apparently perfect"
17,span-based,Dowager Lady Ingram,there was an expression of almost insupportable haughtiness in her bearing and countenance
17,span-based,Dowager Lady Ingram,"She had Roman features and a double chin, disappearing into a throat like a pillar: these features appeared to me not only inflated and darkened, but even furrowed with pride"
17,span-based,Dowager Lady Ingram,"and the chin was sustained by the same principle, in a position of almost preternatural erectness"
17,span-based,Dowager Lady Ingram,"She had, likewise, a fierce and a hard eye: it reminded me of Mrs. Reed’s; she mouthed her words in speaking; her voice was deep, its inflections very pompous, very dogmatical,—very intolerable, in short"
17,span-based,Dowager Lady Ingram,"A crimson velvet robe, and a shawl turban of some gold-wrought Indian fabric, invested her (I suppose she thought) with a truly imperial dignity"
17,span-based,Blanche Ingram,"the noble bust, the sloping shoulders, the graceful neck, the dark eyes and black ringlets were all there"
17,span-based,Blanche Ingram,"Her face was like her mother’s; a youthful unfurrowed likeness: the same low brow, the same high features, the same pride"
17,span-based,Blanche Ingram,"It was not, however, so saturnine a pride! she laughed continually; her laugh was satirical, and so was the habitual expression of her arched and haughty lip"
17,span-based,Blanche Ingram,she was self-conscious—remarkably self-conscious indeed
17,span-based,Mary Ingram,"Mary had a milder and more open countenance than Blanche; softer features too, and a skin some shades fairer"
17,span-based,Mary Ingram,"Miss Ingram was dark as a Spaniard—but Mary was deficient in life: her face lacked expression, her eye lustre"
17,span-based,Lord Ingram,"Lord Ingram, like his sisters, is very tall; like them, also, he is handsome; but he shares Mary’s apathetic and listless look"
17,span-based,Mr. Eshton,"Mr. Eshton, the magistrate of the district, is gentleman-like: his hair is quite white, his eyebrows and whiskers still dark, which gives him something of the appearance of a 'père noble de théâtre.'"
17,span-based,Henry Lynn,"Henry Lynn has taken possession of an ottoman at the feet of Louisa: Adèle shares it with him: he is trying to talk French with her, and Louisa laughs at his blunders"
17,span-based,Frederick Lynn,Frederick Lynn are very dashing sparks indeed
17,span-based,Colonel Dent,Colonel Dent is a fine soldierly man
17,span-based,Lady Lynn,"Lady Lynn was a large and stout personage of about forty, very erect, very haughty-looking, richly dressed in a satin robe of changeful sheen"
17,span-based,Lady Lynn,"her dark hair shone glossily under the shade of an azure plume, and within the circlet of a band of gems"
17,span-based,Amy Eshton,"Amy was rather little: naïve, and child-like in face and manner, and piquant in form; her white muslin dress and blue sash became her well"
17,span-based,Louisa Eshton,"the second, Louisa, was taller and more elegant in figure; with a very pretty face, of that order the French term _minois chiffoné_: both sisters were fair as lilies"
17,span-based,Mr. Rochester,"Mr. Rochester, on his black horse, Mesrour, Pilot bounding before him"
17,span-based,Mr. Rochester,"Most true is it that “beauty is in the eye of the gazer.” My master’s colourless, olive face, square, massive brow, broad and jetty eyebrows, deep eyes, strong features, firm, grim mouth,—all energy, decision, will,—were not beautiful, according to rule; but they were more than beautiful to me; they were full of an interest, an influence that quite mastered me"
29,span-based,Hannah,"Hannah, the servant, was my most frequent visitor."
29,span-based,Hannah,"Hannah had been cold and stiff, indeed, at the first."
29,span-based,Hannah,"When she saw me come in tidy and well-dressed, she even smiled."
29,span-based,Hannah,"She pointed to the rocking-chair: I took it. She bustled about, examining me every now and then with the corner of her eye."
29,span-based,Diana Rivers,"Diana had a voice toned, to my ear, like the cooing of a dove."
29,span-based,Diana Rivers,She possessed eyes whose gaze I delighted to encounter.
29,span-based,Diana Rivers,Her whole face seemed to me full of charm.
29,span-based,Diana Rivers,"Diana looked and spoke with a certain authority: she had a will, evidently."
29,span-based,Mary Rivers,"Mary’s countenance was equally intelligent—her features equally pretty; but her expression was more reserved, and her manners, though gentle, more distant."
15,span-based,Mr. Rochester,ugly as he was
15,span-based,Mr. Rochester,his ebon eyebrow
15,span-based,Mr. Rochester,"proud, sardonic, harsh to inferiority of every description"
15,span-based,Mr. Rochester,"morose, almost a malignant, scowl blackened his features"
15,span-based,Mr. Rochester,pale and very gloomy
15,span-based,Mr. Rochester,strange fire in his look
4,span-based,John Reed,John thrust his tongue in his cheek whenever he saw me
4,span-based,John Reed,he thought it better to desist
4,span-based,Mrs. Reed,Mrs. Reed surveyed me at times with a severe eye
4,span-based,Mrs. Reed,she had drawn a more marked line of separation than ever between me and her own children
4,span-based,Mrs. Reed,Mrs. Reed was rather a stout woman
4,span-based,Mrs. Reed,her usually cold composed grey eye became troubled with a look like fear
4,span-based,Mrs. Reed,"she was a woman of robust frame, square-shouldered and strong-limbed, not tall, and, though stout, not obese"
4,span-based,Mrs. Reed,"she had a somewhat large face, the under jaw being much developed and very solid"
4,span-based,Mrs. Reed,"her brow was low, her chin large and prominent, mouth and nose sufficiently regular"
4,span-based,Mrs. Reed,under her light eyebrows glimmered an eye devoid of ruth
4,span-based,Mrs. Reed,"her skin was dark and opaque, her hair nearly flaxen"
4,span-based,Mrs. Reed,her constitution was sound as a bell—illness never came near her
4,span-based,Bessie,"I remember her as a slim young woman, with black hair, dark eyes, very nice features, and good, clear complexion"
4,span-based,Bessie,"Bessie seemed to me the best, prettiest, kindest being in the world"
4,span-based,Bessie,"Bessie must, I think, have been a girl of good natural capacity"
4,span-based,Georgiana Reed,"Georgiana sat on a high stool, dressing her hair at the glass, and interweaving her curls with artificial flowers and faded feathers"
4,span-based,Eliza Reed,"Eliza was putting on her bonnet and warm garden-coat to go and feed her poultry, an occupation of which she was fond: and not less so of selling the eggs to the housekeeper"
4,span-based,Mr. Brocklehurst,"he was a tall gentleman; his features were large, and they and all the lines of his frame were equally harsh and prim"
4,span-based,Mr. Brocklehurst,"what a face he had, now that it was almost on a level with mine! what a great nose! and what a mouth! and what large prominent teeth"
4,span-based,Mr. Brocklehurst,he turned his head slowly towards where I stood
5,span-based,Bessie,"she had lit a fire in the nursery, where she now proceeded to make my breakfast"
5,span-based,Bessie,wrapped up some biscuits in a paper and put them into my bag
5,span-based,Bessie,helped me on with my pelisse and bonnet
5,span-based,Mrs. Reed,She came to my crib last night when you were gone down to supper
5,span-based,Madame Pierrot,"a strange, foreign-looking, elderly lady, the French teacher"
5,span-based,Miss Miller,appeared some years younger
5,span-based,Miss Miller,"more ordinary; ruddy in complexion, though of a careworn countenance; hurried in gait and action, like one who had always a multiplicity of tasks on hand"
5,span-based,Miss Smith,the one with red cheeks is called Miss Smith; she attends to the work
5,span-based,Naomi Brocklehurst,the lady who built the new part of this house as that tablet records
5,span-based,Miss Temple,"a tall lady with dark hair, dark eyes, and a pale and large forehead; her figure was partly enveloped in a shawl, her countenance was grave, her bearing erect"
5,span-based,Miss Temple,"Seen now, in broad daylight, she looked tall, fair, and shapely; brown eyes with a benignant light in their irids, and a fine pencilling of long lashes round, relieved the whiteness of her large front; on each of her temples her hair, of a very dark brown, was clustered in round curls"
5,span-based,Miss Temple,"her dress, also in the mode of the day, was of purple cloth, relieved by a sort of Spanish trimming of black velvet; a gold watch (watches were not so common then as now) shone at her girdle"
5,span-based,Miss Temple,"refined features; a complexion, if pale, clear; and a stately air and carriage"
5,span-based,Helen Burns,"she neither wept nor blushed: composed, though grave, she stood, the central mark of all eyes"
14,span-based,Mr. Rochester,"he sat in his damask-covered chair, looked different to what I had seen him look before; not quite so stern—much less gloomy."
14,span-based,Mr. Rochester,"There was a smile on his lips, and his eyes sparkled, whether with wine or not, I am not sure; but I think it very probable."
14,span-based,Mr. Rochester,"he looked preciously grim, cushioning his massive head against the swelling back of his chair, and receiving the light of the fire on his granite-hewn features, and in his great, dark eyes; for he had great, dark eyes, and very fine eyes, too—not without a certain change in their depths sometimes, which, if it was not softness, reminded you, at least, of that feeling."
14,span-based,Mr. Rochester,"he lifted up the sable waves of hair which lay horizontally over his brow, and showed a solid enough mass of intellectual organs, but an abrupt deficiency where the suave sign of benevolence should have risen."
14,span-based,Mr. Rochester,"his unusual breadth of chest, disproportionate almost to his length of limb."
14,span-based,Mr. Rochester,"there was so much unconscious pride in his port; so much ease in his demeanour; such a look of complete indifference to his own external appearance; so haughty a reliance on the power of other qualities, intrinsic or adventitious, to atone for the lack of mere personal attractiveness."
14,span-based,Mr. Rochester,"while talking to you, I have also occasionally watched Adèle... I know what I shall see,—a miniature of Céline Varens, as she used to appear on the boards at the rising of—But never mind that."
14,span-based,Mrs. Fairfax,she had a knitting-basket in hand.
28,span-based,Diana Rivers,"Two young, graceful women—ladies in every point—sat, one in a low rocking-chair, the other on a lower stool; both wore deep mourning of crape and bombazeen, which sombre garb singularly set off very fair necks and faces."
28,span-based,Diana Rivers,Diana’s duskier tresses covered her neck with thick curls.
28,span-based,Diana Rivers,I thought them so similar I could not tell where the old servant (for such I now concluded her to be) saw the difference. Both were fair complexioned and slenderly made; both possessed faces full of distinction and intelligence.
28,span-based,Mary Rivers,"Two young, graceful women—ladies in every point—sat, one in a low rocking-chair, the other on a lower stool; both wore deep mourning of crape and bombazeen, which sombre garb singularly set off very fair necks and faces."
28,span-based,Mary Rivers,Mary’s pale brown locks were parted and braided smooth.
28,span-based,Hannah,"an elderly woman, somewhat rough-looking, but scrupulously clean, like all about her."
25,span-based,Mr. Rochester,"He had a rounded, muscular, and vigorous hand, as well as a long, strong arm."
25,span-based,Mr. Rochester,I looked up at him to read the signs of bliss in his face: it was ardent and flushed.
25,span-based,Jane,I shook my head.
25,span-based,Grace Poole,You call her a strange being yourself.
25,span-based,Adele,I remember Adèle clung to me as I left her: I remember I kissed her as I loosened her little hands from my neck.
31,span-based,St. John Rivers,"his brow knit, his gaze, grave almost to displeasure"
31,span-based,St. John Rivers,"his peculiar, subdued, yet emphatic voice"
31,span-based,St. John Rivers,"his mouth certainly looked a good deal compressed, and the lower part of his face unusually stern and square"
31,span-based,St. John Rivers,"I saw his solemn eye melt with sudden fire, and flicker with resistless emotion"
31,span-based,St. John Rivers,"Flushed and kindled thus, he looked nearly as beautiful for a man as she for a woman"
31,span-based,St. John Rivers,"he curbed it, I think, as a resolute rider would curb a rearing steed"
31,span-based,Miss Oliver,"a form clad in pure white—a youthful, graceful form: full, yet fine in contour"
31,span-based,Miss Oliver,"when, after bending to caress Carlo, it lifted up its head, and threw back a long veil, there bloomed under his glance a face of perfect beauty"
31,span-based,Miss Oliver,as sweet features as ever the temperate clime of Albion moulded; as pure hues of rose and lily as ever her humid gales and vapoury skies generated
31,span-based,Miss Oliver,"no charm was wanting, no defect was perceptible; the young girl had regular and delicate lineaments; eyes shaped and coloured as we see them in lovely pictures, large, and dark, and full"
31,span-based,Miss Oliver,"the long and shadowy eyelash which encircles a fine eye with so soft a fascination; the pencilled brow which gives such clearness; the white smooth forehead, which adds such repose to the livelier beauties of tint and ray"
31,span-based,Miss Oliver,"the cheek oval, fresh, and smooth; the lips, fresh too, ruddy, healthy, sweetly formed; the even and gleaming teeth without flaw; the small dimpled chin; the ornament of rich, plenteous tresses"
19,span-based,Mr. Rochester,Mr. Rochester stepped out of his disguise.
19,span-based,Mr. Rochester,"His face, which was no longer turned from me."
19,span-based,Grace Poole,"There is diablerie in the business after all, then!"
8,span-based,Helen Burns,"she sat down on the ground near me, embraced her knees with her arms, and rested her head upon them; in that attitude she remained silent as an Indian."
8,span-based,Helen Burns,she chafed my fingers gently to warm them
8,span-based,Helen Burns,she breathed a little fast and coughed a short cough
8,span-based,Helen Burns,"then she shone in the liquid lustre of her eyes, which had suddenly acquired a beauty more singular than that of Miss Temple’s—a beauty neither of fine colour nor long eyelash, nor pencilled brow, but of meaning, of movement, of radiance."
8,span-based,Helen Burns,"her soul sat on her lips, and language flowed, from what source I cannot tell."
8,span-based,Helen Burns,Helen had calmed me; but in the tranquillity she imparted there was an alloy of inexpressible sadness.
8,span-based,Helen Burns,"she wore it till evening, patient, unresentful, regarding it as a deserved punishment."
8,span-based,Miss Temple,"Miss Temple told Helen Burns to be seated in a low arm-chair on one side of the hearth, and herself taking another, she called me to her side."
8,span-based,Miss Temple,"I derived a child’s pleasure from the contemplation of her face, her dress, her one or two ornaments, her white forehead, her clustered and shining curls, and beaming dark eyes."
8,span-based,Miss Temple,"Miss Temple had always something of serenity in her air, of state in her mien, of refined propriety in her language, which precluded deviation into the ardent, the excited, the eager."
8,span-based,Mr. Brocklehurst,"a woman after Mr. Brocklehurst’s own heart, made up of equal parts of whalebone and iron."
9,span-based,Miss Temple,her whole attention was absorbed by the patients
9,span-based,Miss Temple,"She lived in the sick-room, never quitting it except to snatch a few hours’ rest at night"
9,span-based,Helen Burns,"her face, pale, wasted, but quite composed"
9,span-based,Helen Burns,she looked so little changed that my fear was instantly dissipated
9,span-based,Helen Burns,"her forehead was cold, and her cheek both cold and thin, and so were her hand and wrist"
9,span-based,Helen Burns,she smiled as of old
9,span-based,Mary Ann Wilson,"a shrewd, observant personage, whose society I took pleasure in"
9,span-based,Mary Ann Wilson,"she was witty and original, and partly because she had a manner which set me at my ease"
9,span-based,Mary Ann Wilson,"Some years older than I, she knew more of the world, and could tell me many things I liked to hear"
9,span-based,Mr. Brocklehurst,Mr. Brocklehurst and his family never came near Lowood now
18,span-based,Mrs. Fairfax,"Mrs. Fairfax was summoned to give information respecting the resources of the house in shawls, dresses, draperies of any kind."
18,span-based,Amy Eshton,"Amy Eshton, draped in Mr. Rochester’s cloak, and holding a book in her hand."
18,span-based,Louisa Eshton,"Mrs. Dent and Louisa Eshton, dressed also in white, took up their stations behind them."
18,span-based,Mr. Mason,"his complexion was singularly sallow: otherwise he was a fine-looking man, at first sight especially"
18,span-based,Mr. Mason,"on closer examination, you detected something in his face that displeased, or rather that failed to please."
18,span-based,Mr. Mason,"his features were regular, but too relaxed: his eye was large and well cut, but the life looking out of it was a tame, vacant life."
18,span-based,Mr. Mason,he was a handsome and not an unamiable-looking man.
18,span-based,Mr. Eshton,"Mr. Eshton, observing me, seemed to propose that I should be asked to join them."
18,span-based,Henry Lynn,Mr. Henry Lynn summoned them to the other side of the room.
18,span-based,Sir George Lynn,"the bulky figure of Sir George Lynn, whom Mr. Rochester had likewise chosen."
18,span-based,Lady Ingram,Lady Ingram instantly negatived the notion.
18,span-based,Lady Ingram,"who scorned to touch me with the hem of her robes as she passed; who, if ever her dark and imperious eye fell on me by chance, would withdraw it instantly as from an object too mean to merit observation."
18,span-based,Colonel Dent,Colonel Dent and his party consulted in whispers for two minutes.
18,span-based,Mr. Rochester,"Presently advanced into view Miss Ingram. She, too, was attired in oriental fashion: a crimson scarf tied sash-like round the waist: an embroidered handkerchief knotted about her temples; her beautifully-moulded arms bare, one of them upraised in the act of supporting a pitcher, poised gracefully on her head."
18,span-based,Mr. Rochester,"As he moved, a chain clanked; to his wrists were attached fetters."
18,span-based,Mr. Rochester,"Mr. Rochester, costumed in shawls, with a turban on his head. His dark eyes and swarthy skin and Paynim features suited the costume exactly: he looked the very model of an Eastern emir, an agent or a victim of the bowstring."
18,span-based,Mr. Rochester,"Mr. Rochester, led in Miss Ingram; she was complimenting him on his acting."
18,span-based,Mr. Rochester,"He asked, turning it towards her."
18,span-based,Jane,"I happened to be near him, as I had been fastening the clasp of Mrs. Dent’s bracelet, which had got loose."
18,span-based,Jane,"There was nothing to cool or banish love in these circumstances, though much to create despair."
30,span-based,Diana Rivers,"Physically, she far excelled me: she was handsome; she was vigorous."
30,span-based,Diana Rivers,"in her animal spirits there was an affluence of life and certainty of flow, such as excited my wonder, while it baffled my comprehension."
24,span-based,Mr. Rochester,"Jane, you look blooming, and smiling, and pretty: truly pretty this morning."
24,span-based,Mr. Rochester,"This little sunny-faced girl with the dimpled cheek and rosy lips; the satin-smooth hazel hair, and the radiant hazel eyes."
24,span-based,Mrs. Fairfax,Mrs. Fairfax surprised me by looking out of the window with a sad countenance.
24,span-based,Mrs. Fairfax,"Her eyes, fixed on the blank wall opposite, expressed the surprise of a quiet mind stirred by unwonted tidings."
24,span-based,Jane,I could not quite comprehend it: it made me giddy.
24,span-based,Jane,"I was not surprised, when I ran down into the hall, to see that a brilliant June morning had succeeded to the tempest of the night."
24,span-based,Jane,"I looked at my face in the glass, and felt it was no longer plain."
32,span-based,St. John Rivers,"his marble-seeming features, though they refused to relax, changed indescribably, and in their very quiescence became expressive of a repressed fervour, stronger than working muscle or darting glance could indicate."
32,span-based,St. John Rivers,his sad and resolute look
32,span-based,St. John Rivers,"He appeared a taciturn, and perhaps a proud personage"
32,span-based,Mr. Oliver,"a tall, massive-featured, middle-aged, and grey-headed man"
26,span-based,Sophie,she was very long indeed in accomplishing her task
26,span-based,Mr. Rochester,"He took me into the dining-room, surveyed me keenly all over, pronounced me 'fair as a lily, and not only the pride of his life, but the desire of his eyes'"
26,span-based,Mr. Rochester,"I wonder what other bridegroom ever looked as he did—so bent up to a purpose, so grimly resolute: or who, under such steadfast brows, ever revealed such flaming and flashing eyes"
26,span-based,Mr. Rochester,"What a hot and strong grasp he had! and how like quarried marble was his pale, firm, massive front at this moment!"
26,span-based,Mr. Rochester,"His eye shone, still watchful, and yet wild beneath"
26,span-based,Mr. Rochester,He looked at them with a smile both acrid and desolate
26,span-based,Mr. Wood,"the clergyman, who had not lifted his eyes from his book"
26,span-based,Grace Poole,"Grace Poole bent over the fire, apparently cooking something in a saucepan"
26,span-based,Grace Poole,"rather snappish, but not 'rageous'"
26,span-based,Bertha Mason,"a figure ran backwards and forwards. What it was, whether beast or human being, one could not, at first sight, tell: it grovelled, seemingly, on all fours; it snatched and growled like some strange wild animal: but it was covered with clothing, and a quantity of dark, grizzled hair, wild as a mane, hid its head and face"
26,span-based,Bertha Mason,"the maniac bellowed: she parted her shaggy locks from her visage, and gazed wildly at her visitors"
26,span-based,Bertha Mason,"she was a big woman, in stature almost equalling her husband, and corpulent besides: she showed virile force in the contest—more than once she almost throttled him, athletic as he was"
27,span-based,Bertha Mason,you would not trust for a moment to any character she might have
27,span-based,Mrs. Fairfax,"no message had been sent to ask how I was, or to invite me to come down"
27,span-based,Mr. Rochester,a man who is just about to burst an insufferable bond
27,span-based,Mr. Rochester,his large nostrils dilated; his eye blazed
27,span-based,Mr. Rochester,he held his arms out
33,span-based,St. John Rivers,the cloak that covered his tall figure all white as a glacier.
33,span-based,St. John Rivers,handsome-featured face of his look more like chiselled marble than it did just now
33,span-based,St. John Rivers,"let the firelight shine free on his pale brow and cheek as pale, where it grieved me to discover the hollow trace of care or sorrow now so plainly graved."
33,span-based,St. John Rivers,his hand looked wasted like his face.
37,span-based,Mr. Rochester,"His form was of the same strong and stalwart contour as ever: his port was still erect, his hair was still raven black; nor were his features altered or sunk: not in one year’s space, by any sorrow, could his athletic strength be quelled or his vigorous prime blighted."
37,span-based,Mr. Rochester,"But in his countenance I saw a change: that looked desperate and brooding—that reminded me of some wronged and fettered wild beast or bird, dangerous to approach in his sullen woe."
37,span-based,Mr. Rochester,"He lifted his hand and opened his eyelids; gazed blank, and with a straining effort, on the sky, and toward the amphitheatre of trees: one saw that all to him was void darkness."
