chapter,method,turn_id,text,character
10,chapter_all_gpt-4o-mini_individual,23,"It’s her, I am sure!—I could have told her anywhere!",Bessie
10,chapter_all_gpt-4o-mini_individual,24,"Well, who is it?",Bessie
10,chapter_all_gpt-4o-mini_individual,25,"you’ve not quite forgotten me, I think, Miss Jane?",Bessie
10,chapter_all_gpt-4o-mini_individual,26,Bessie! Bessie! Bessie!,Bessie
10,chapter_all_gpt-4o-mini_individual,27,"That is my little boy,",Bessie
10,chapter_all_gpt-4o-mini_individual,28,"Then you are married, Bessie?",Jane
10,chapter_all_gpt-4o-mini_individual,29,"Yes; nearly five years since to Robert Leaven, the coachman; and I’ve a little girl besides Bobby there, that I’ve christened Jane.",Bessie
10,chapter_all_gpt-4o-mini_individual,30,And you don’t live at Gateshead?,Bessie
10,chapter_all_gpt-4o-mini_individual,31,I live at the lodge: the old porter has left.,Bessie
10,chapter_all_gpt-4o-mini_individual,32,"Well, and how do they all get on? Tell me everything about them, Bessie: but sit down first; and, Bobby, come and sit on my knee, will you?",Bessie
10,chapter_all_gpt-4o-mini_individual,33,"You’re not grown so very tall, Miss Jane, nor so very stout,",Bessie
10,chapter_all_gpt-4o-mini_individual,34,I dare say they’ve not kept you too well at school: Miss Reed is the head and shoulders taller than you are; and Miss Georgiana would make two of you in breadth.,Bessie
10,chapter_all_gpt-4o-mini_individual,35,"Georgiana is handsome, I suppose, Bessie?",Jane
10,chapter_all_gpt-4o-mini_individual,36,"Very. She went up to London last winter with her mama, and there everybody admired her, and a young lord fell in love with her: but his relations were against the match; and—what do you think?—he and Miss Georgiana made it up to run away; but they were found out and stopped. It was Miss Reed that found them out: I believe she was envious; and now she and her sister lead a cat and dog life together; they are always quarrelling—",Bessie
10,chapter_all_gpt-4o-mini_individual,37,"Well, and what of John Reed?",Bessie
10,chapter_all_gpt-4o-mini_individual,38,"Oh, he is not doing so well as his mama could wish. He went to college, and he got—plucked, I think they call it: and then his uncles wanted him to be a barrister, and study the law: but he is such a dissipated young man, they will never make much of him, I think.",Bessie
10,chapter_all_gpt-4o-mini_individual,39,What does he look like?,Bessie
10,chapter_all_gpt-4o-mini_individual,40,He is very tall: some people call him a fine-looking young man; but he has such thick lips.,Bessie
10,chapter_all_gpt-4o-mini_individual,41,And Mrs. Reed?,Bessie
10,chapter_all_gpt-4o-mini_individual,42,"Missis looks stout and well enough in the face, but I think she’s not quite easy in her mind: Mr. John’s conduct does not please her—he spends a deal of money.",Bessie
10,chapter_all_gpt-4o-mini_individual,43,"Did she send you here, Bessie?",Jane
10,chapter_all_gpt-4o-mini_individual,44,"No, indeed: but I have long wanted to see you, and when I heard that there had been a letter from you, and that you were going to another part of the country, I thought I’d just set off, and get a look at you before you were quite out of my reach.",Bessie
10,chapter_all_gpt-4o-mini_individual,45,"I am afraid you are disappointed in me, Bessie.",Bessie
10,chapter_all_gpt-4o-mini_individual,46,"No, Miss Jane, not exactly: you are genteel enough; you look like a lady, and it is as much as ever I expected of you: you were no beauty as a child.",Bessie
10,chapter_all_gpt-4o-mini_individual,47,"I dare say you are clever, though,",Bessie
10,chapter_all_gpt-4o-mini_individual,48,What can you do? Can you play on the piano?,Bessie
10,chapter_all_gpt-4o-mini_individual,49,A little.,Jane
10,chapter_all_gpt-4o-mini_individual,50,The Miss Reeds could not play as well!,Bessie
10,chapter_all_gpt-4o-mini_individual,51,I always said you would surpass them in learning: and can you draw?,Bessie
10,chapter_all_gpt-4o-mini_individual,52,That is one of my paintings over the chimney-piece.,Jane
10,chapter_all_gpt-4o-mini_individual,53,"Well, that is beautiful, Miss Jane! It is as fine a picture as any Miss Reed’s drawing-master could paint, let alone the young ladies themselves, who could not come near it: and have you learnt French?",Bessie
10,chapter_all_gpt-4o-mini_individual,54,"Yes, Bessie, I can both read it and speak it.",Bessie
10,chapter_all_gpt-4o-mini_individual,55,And you can work on muslin and canvas?,Bessie
10,chapter_all_gpt-4o-mini_individual,56,I can.,Jane
10,chapter_all_gpt-4o-mini_individual,57,"Oh, you are quite a lady, Miss Jane! I knew you would be: you will get on whether your relations notice you or not. There was something I wanted to ask you. Have you ever heard anything from your father’s kinsfolk, the Eyres?",Bessie
10,chapter_all_gpt-4o-mini_individual,58,Never in my life.,Jane
10,chapter_all_gpt-4o-mini_individual,59,"Well, you know Missis always said they were poor and quite despicable: and they may be poor; but I believe they are as much gentry as the Reeds are; for one day, nearly seven years ago, a Mr. Eyre came to Gateshead and wanted to see you; Missis said you were at school fifty miles off; he seemed so much disappointed, for he could not stay: he was going on a voyage to a foreign country, and the ship was to sail from London in a day or two. He looked quite a gentleman, and I believe he was your father’s brother.",Bessie
10,chapter_all_gpt-4o-mini_individual,60,"What foreign country was he going to, Bessie?",Jane
10,chapter_all_gpt-4o-mini_individual,61,"An island thousands of miles off, where they make wine—the butler did tell me—",Bessie
10,chapter_all_gpt-4o-mini_individual,62,Madeira?,Bessie
10,chapter_all_gpt-4o-mini_individual,63,"Yes, that is it—that is the very word.",Bessie
10,chapter_all_gpt-4o-mini_individual,64,So he went?,Bessie
10,chapter_all_gpt-4o-mini_individual,65,Yes; he did not stay many minutes in the house: Missis was very high with him; she called him afterwards a ‘sneaking tradesman.’ My Robert believes he was a wine-merchant.,Bessie
10,chapter_all_gpt-4o-mini_individual,66,"Very likely,",Bessie
10,chapter_all_gpt-4o-mini_individual,67,or perhaps clerk or agent to a wine-merchant.,Bessie
38,chapter_all_gpt-4o-mini_individual,9,"She had better not wait till then, Jane,",Mr. Rochester
38,chapter_all_gpt-4o-mini_individual,10,"if she does, she will be too late, for our honeymoon will shine our life long: its beams will only fade over your grave or mine.",Mr. Rochester
38,chapter_all_gpt-4o-mini_individual,11,"Jane, have you a glittering ornament round your neck?",Mr. Rochester
38,chapter_all_gpt-4o-mini_individual,12,Yes.,Mr. Rochester
38,chapter_all_gpt-4o-mini_individual,13,And have you a pale blue dress on?,Mr. Rochester
38,chapter_all_gpt-4o-mini_individual,14,"Whosoever will come after me, let him deny himself, and take up his cross and follow me.",St. John Rivers
38,chapter_all_gpt-4o-mini_individual,15,"My Master,",St. John Rivers
38,chapter_all_gpt-4o-mini_individual,16,"has forewarned me. Daily He announces more distinctly,—‘Surely I come quickly!’ and hourly I more eagerly respond,—‘Amen; even so come, Lord Jesus!’",St. John Rivers
1,chapter_all_gpt-4o-mini_individual,0,"She regretted to be under the necessity of keeping me at a distance; but that until she heard from Bessie, and could discover by her own observation, that I was endeavouring in good earnest to acquire a more sociable and childlike disposition, a more attractive and sprightly manner—something lighter, franker, more natural, as it were—she really must exclude me from privileges intended only for contented, happy, little children.",Mrs. Reed
1,chapter_all_gpt-4o-mini_individual,1,What does Bessie say I have done?,Jane
1,chapter_all_gpt-4o-mini_individual,2,"Jane, I don’t like cavillers or questioners; besides, there is something truly forbidding in a child taking up her elders in that manner. Be seated somewhere; and until you can speak pleasantly, remain silent.",Mrs. Reed
1,chapter_all_gpt-4o-mini_individual,3,the solitary rocks and promontories,Jane
1,chapter_all_gpt-4o-mini_individual,4,"Where the Northern Ocean, in vast whirls, Boils round the naked, melancholy isles Of farthest Thule; and the Atlantic surge Pours in among the stormy Hebrides.",Jane
1,chapter_all_gpt-4o-mini_individual,5,"the vast sweep of the Arctic Zone, and those forlorn regions of dreary space,—that reservoir of frost and snow, where firm fields of ice, the accumulation of centuries of winters, glazed in Alpine heights above heights, surround the pole, and concentre the multiplied rigours of extreme cold.",Jane
1,chapter_all_gpt-4o-mini_individual,6,Boh! Madam Mope!,John Reed
1,chapter_all_gpt-4o-mini_individual,7,Where the dickens is she!,John Reed
1,chapter_all_gpt-4o-mini_individual,8,Lizzy! Georgy! (calling to his sisters) Joan is not here: tell mama she is run out into the rain—bad animal!,John Reed
1,chapter_all_gpt-4o-mini_individual,9,"It is well I drew the curtain,",Jane
1,chapter_all_gpt-4o-mini_individual,10,"She is in the window-seat, to be sure, Jack.",Eliza Reed
1,chapter_all_gpt-4o-mini_individual,11,What do you want?,John Reed
1,chapter_all_gpt-4o-mini_individual,12,"Say, ‘What do you want, Master Reed?’",John Reed
1,chapter_all_gpt-4o-mini_individual,13,I want you to come here;,John Reed
1,chapter_all_gpt-4o-mini_individual,14,on account of his delicate health.,Mrs. Reed
1,chapter_all_gpt-4o-mini_individual,15,"That is for your impudence in answering mama awhile since,",John Reed
1,chapter_all_gpt-4o-mini_individual,16,"and for your sneaking way of getting behind curtains, and for the look you had in your eyes two minutes since, you rat!",John Reed
1,chapter_all_gpt-4o-mini_individual,17,What were you doing behind the curtain?,John Reed
1,chapter_all_gpt-4o-mini_individual,18,I was reading.,Jane
1,chapter_all_gpt-4o-mini_individual,19,Show the book.,John Reed
1,chapter_all_gpt-4o-mini_individual,20,"You have no business to take our books; you are a dependent, mama says; you have no money; your father left you none; you ought to beg, and not to live here with gentlemen’s children like us, and eat the same meals we do, and wear clothes at our mama’s expense. Now, I’ll teach you to rummage my bookshelves: for they _are_ mine; all the house belongs to me, or will do in a few years. Go and stand by the door, out of the way of the mirror and the windows.",John Reed
1,chapter_all_gpt-4o-mini_individual,21,Wicked and cruel boy!,Jane
1,chapter_all_gpt-4o-mini_individual,22,You are like a murderer—you are like a slave-driver—you are like the Roman emperors!,Jane
1,chapter_all_gpt-4o-mini_individual,23,What! what!,John Reed
1,chapter_all_gpt-4o-mini_individual,24,"Did she say that to me? Did you hear her, Eliza and Georgiana? Won’t I tell mama? but first—",John Reed
1,chapter_all_gpt-4o-mini_individual,25,Rat! Rat!,John Reed
1,chapter_all_gpt-4o-mini_individual,26,Dear! dear! What a fury to fly at Master John!,Mrs. Reed
1,chapter_all_gpt-4o-mini_individual,27,Did ever anybody see such a picture of passion!,Mrs. Reed
1,chapter_all_gpt-4o-mini_individual,28,"Take her away to the red-room, and lock her in there.",Mrs. Reed
11,chapter_all_gpt-4o-mini_individual,0,boots,Jane
11,chapter_all_gpt-4o-mini_individual,1,Is there a place in this neighbourhood called Thornfield?,Jane
11,chapter_all_gpt-4o-mini_individual,2,"Thornfield? I don’t know, ma’am; I’ll inquire at the bar.",Grace Poole
11,chapter_all_gpt-4o-mini_individual,3,"Is your name Eyre, Miss?",Mrs. Fairfax
11,chapter_all_gpt-4o-mini_individual,4,Yes.,Jane
11,chapter_all_gpt-4o-mini_individual,5,Person here waiting for you.,Mrs. Fairfax
11,chapter_all_gpt-4o-mini_individual,7,Yes.,Jane
11,chapter_all_gpt-4o-mini_individual,8,A matter of six miles.,Jane
11,chapter_all_gpt-4o-mini_individual,9,How long shall we be before we get there?,Jane
11,chapter_all_gpt-4o-mini_individual,11,"I suppose,",Jane
11,chapter_all_gpt-4o-mini_individual,12,"judging from the plainness of the servant and carriage, Mrs. Fairfax is not a very dashing person: so much the better; I never lived amongst fine people but once, and I was very miserable with them. I wonder if she lives alone except this little girl; if so, and if she is in any degree amiable, I shall surely be able to get on with her; I will do my best; it is a pity that doing one’s best does not always answer. At Lowood, indeed, I took that resolution, kept it, and succeeded in pleasing; but with Mrs. Reed, I remember my best was always spurned with scorn. I pray God Mrs. Fairfax may not turn out a second Mrs. Reed; but if she does, I am not bound to stay with her! let the worst come to the worst, I can advertise again. How far are we on our road now, I wonder?",Jane
11,chapter_all_gpt-4o-mini_individual,13,You’re noan so far fro’ Thornfield now.,Grace Poole
11,chapter_all_gpt-4o-mini_individual,14,"Will you walk this way, ma’am?",Mrs. Fairfax
11,chapter_all_gpt-4o-mini_individual,15,"How do you do, my dear? I am afraid you have had a tedious ride; John drives so slowly; you must be cold, come to the fire.",Mrs. Fairfax
11,chapter_all_gpt-4o-mini_individual,16,"Mrs. Fairfax, I suppose?",Jane
11,chapter_all_gpt-4o-mini_individual,17,"Yes, you are right: do sit down.",Mrs. Fairfax
11,chapter_all_gpt-4o-mini_individual,18,"Oh, it is no trouble; I dare say your own hands are almost numbed with cold. Leah, make a little hot negus and cut a sandwich or two: here are the keys of the storeroom.",Mrs. Fairfax
11,chapter_all_gpt-4o-mini_individual,19,"Now, then, draw nearer to the fire,",Mrs. Fairfax
11,chapter_all_gpt-4o-mini_individual,20,"You’ve brought your luggage with you, haven’t you, my dear?",Mrs. Fairfax
11,chapter_all_gpt-4o-mini_individual,21,"Yes, ma’am.",Jane
11,chapter_all_gpt-4o-mini_individual,22,"I’ll see it carried into your room,",Mrs. Fairfax
11,chapter_all_gpt-4o-mini_individual,23,"She treats me like a visitor,",Jane
11,chapter_all_gpt-4o-mini_individual,24,I little expected such a reception; I anticipated only coldness and stiffness: this is not like what I have heard of the treatment of governesses; but I must not exult too soon.,Jane
11,chapter_all_gpt-4o-mini_individual,25,Shall I have the pleasure of seeing Miss Fairfax to-night?,Jane
11,chapter_all_gpt-4o-mini_individual,26,"What did you say, my dear? I am a little deaf,",Mrs. Fairfax
11,chapter_all_gpt-4o-mini_individual,27,"Miss Fairfax? Oh, you mean Miss Varens! Varens is the name of your future pupil.",Mrs. Fairfax
11,chapter_all_gpt-4o-mini_individual,28,Indeed! Then she is not your daughter?,Mrs. Fairfax
11,chapter_all_gpt-4o-mini_individual,29,"No,—I have no family.",Mrs. Fairfax
11,chapter_all_gpt-4o-mini_individual,30,"I am so glad,",Mrs. Fairfax
11,chapter_all_gpt-4o-mini_individual,31,"I am so glad you are come; it will be quite pleasant living here now with a companion. To be sure it is pleasant at any time; for Thornfield is a fine old hall, rather neglected of late years perhaps, but still it is a respectable place; yet you know in winter-time one feels dreary quite alone in the best quarters. I say alone—Leah is a nice girl to be sure, and John and his wife are very decent people; but then you see they are only servants, and one can’t converse with them on terms of equality: one must keep them at due distance, for fear of losing one’s authority. I’m sure last winter (it was a very severe one, if you recollect, and when it did not snow, it rained and blew), not a creature but the butcher and postman came to the house, from November till February; and I really got quite melancholy with sitting night after night alone; I had Leah in to read to me sometimes; but I don’t think the poor girl liked the task much: she felt it confining. In spring and summer one got on better: sunshine and long days make such a difference; and then, just at the commencement of this autumn, little Adela Varens came and her nurse: a child makes a house alive all at once; and now you are here I shall be quite gay.",Mrs. Fairfax
11,chapter_all_gpt-4o-mini_individual,32,"But I’ll not keep you sitting up late to-night,",Mrs. Fairfax
11,chapter_all_gpt-4o-mini_individual,33,"it is on the stroke of twelve now, and you have been travelling all day: you must feel tired. If you have got your feet well warmed, I’ll show you your bedroom. I’ve had the room next to mine prepared for you; it is only a small apartment, but I thought you would like it better than one of the large front chambers: to be sure they have finer furniture, but they are so dreary and solitary, I never sleep in them myself.",Mrs. Fairfax
11,chapter_all_gpt-4o-mini_individual,34,What! out already?,Mrs. Fairfax
11,chapter_all_gpt-4o-mini_individual,35,I see you are an early riser.,Mrs. Fairfax
11,chapter_all_gpt-4o-mini_individual,36,How do you like Thornfield?,Mrs. Fairfax
11,chapter_all_gpt-4o-mini_individual,37,"Yes,",Jane
11,chapter_all_gpt-4o-mini_individual,38,"it is a pretty place; but I fear it will be getting out of order, unless Mr. Rochester should take it into his head to come and reside here permanently; or, at least, visit it rather oftener: great houses and fine grounds require the presence of the proprietor.",Mrs. Fairfax
11,chapter_all_gpt-4o-mini_individual,39,Mr. Rochester!,Mr. Rochester
11,chapter_all_gpt-4o-mini_individual,40,Who is he?,Jane
11,chapter_all_gpt-4o-mini_individual,41,"The owner of Thornfield,",Mrs. Fairfax
11,chapter_all_gpt-4o-mini_individual,42,Did you not know he was called Rochester?,Mrs. Fairfax
11,chapter_all_gpt-4o-mini_individual,43,"I thought,",Jane
11,chapter_all_gpt-4o-mini_individual,44,Thornfield belonged to you.,Mrs. Fairfax
11,chapter_all_gpt-4o-mini_individual,45,"To me? Bless you, child; what an idea! To me! I am only the housekeeper—the manager. To be sure I am distantly related to the Rochesters by the mother’s side, or at least my husband was; he was a clergyman, incumbent of Hay—that little village yonder on the hill—and that church near the gates was his. The present Mr. Rochester’s mother was a Fairfax, and second cousin to my husband: but I never presume on the connection—in fact, it is nothing to me; I consider myself quite in the light of an ordinary housekeeper: my employer is always civil, and I expect nothing more.",Mrs. Fairfax
11,chapter_all_gpt-4o-mini_individual,46,And the little girl—my pupil!,Jane
11,chapter_all_gpt-4o-mini_individual,47,"She is Mr. Rochester’s ward; he commissioned me to find a governess for her. He intended to have her brought up in ——shire, I believe. Here she comes, with her ‘bonne,’ as she calls her nurse.",Mrs. Fairfax
11,chapter_all_gpt-4o-mini_individual,48,"Good morning, Miss Adela,",Jane
11,chapter_all_gpt-4o-mini_individual,49,"Come and speak to the lady who is to teach you, and to make you a clever woman some day.",Mrs. Fairfax
11,chapter_all_gpt-4o-mini_individual,51,"Mais oui, certainement.",Celine Varens
11,chapter_all_gpt-4o-mini_individual,52,Are they foreigners?,Mrs. Fairfax
11,chapter_all_gpt-4o-mini_individual,53,"The nurse is a foreigner, and Adela was born on the Continent; and, I believe, never left it till within six months ago. When she first came here she could speak no English; now she can make shift to talk it a little: I don’t understand her, she mixes it so with French; but you will make out her meaning very well, I dare say.",Mrs. Fairfax
11,chapter_all_gpt-4o-mini_individual,54,Ah!,Jane
11,chapter_all_gpt-4o-mini_individual,55,"you speak my language as well as Mr. Rochester does: I can talk to you as I can to him, and so can Sophie. She will be glad: nobody here understands her: Madame Fairfax is all English. Sophie is my nurse; she came with me over the sea in a great ship with a chimney that smoked—how it did smoke!—and I was sick, and so was Sophie, and so was Mr. Rochester. Mr. Rochester lay down on a sofa in a pretty room called the salon, and Sophie and I had little beds in another place. I nearly fell out of mine; it was like a shelf. And Mademoiselle—what is your name?",Celine Varens
11,chapter_all_gpt-4o-mini_individual,56,Eyre—Jane Eyre.,Jane
11,chapter_all_gpt-4o-mini_individual,57,"Aire? Bah! I cannot say it. Well, our ship stopped in the morning, before it was quite daylight, at a great city—a huge city, with very dark houses and all smoky; not at all like the pretty clean town I came from; and Mr. Rochester carried me in his arms over a plank to the land, and Sophie came after, and we all got into a coach, which took us to a beautiful large house, larger than this and finer, called an hotel. We stayed there nearly a week: I and Sophie used to walk every day in a great green place full of trees, called the Park; and there were many children there besides me, and a pond with beautiful birds in it, that I fed with crumbs.",Celine Varens
11,chapter_all_gpt-4o-mini_individual,58,Can you understand her when she runs on so fast?,Mrs. Fairfax
11,chapter_all_gpt-4o-mini_individual,59,"I wish,",Jane
11,chapter_all_gpt-4o-mini_individual,60,you would ask her a question or two about her parents: I wonder if she remembers them?,Mrs. Fairfax
11,chapter_all_gpt-4o-mini_individual,62,with whom did you live when you were in that pretty clean town you spoke of?,Jane
11,chapter_all_gpt-4o-mini_individual,63,"I lived long ago with mama; but she is gone to the Holy Virgin. Mama used to teach me to dance and sing, and to say verses. A great many gentlemen and ladies came to see mama, and I used to dance before them, or to sit on their knees and sing to them: I liked it. Shall I let you hear me sing now?",Celine Varens
11,chapter_all_gpt-4o-mini_individual,66,Was it your mama who taught you that piece?,Jane
11,chapter_all_gpt-4o-mini_individual,68,"No, that will do: but after your mama went to the Holy Virgin, as you say, with whom did you live then?",Jane
11,chapter_all_gpt-4o-mini_individual,69,"With Madame Frédéric and her husband: she took care of me, but she is nothing related to me. I think she is poor, for she had not so fine a house as mama. I was not long there. Mr. Rochester asked me if I would like to go and live with him in England, and I said yes; for I knew Mr. Rochester before I knew Madame Frédéric, and he was always kind to me and gave me pretty dresses and toys: but you see he has not kept his word, for he has brought me to England, and now he is gone back again himself, and I never see him.",Celine Varens
11,chapter_all_gpt-4o-mini_individual,70,"Your morning school-hours are over now, I suppose,",Mrs. Fairfax
11,chapter_all_gpt-4o-mini_individual,71,What a beautiful room!,Jane
11,chapter_all_gpt-4o-mini_individual,72,"Yes; this is the dining-room. I have just opened the window, to let in a little air and sunshine; for everything gets so damp in apartments that are seldom inhabited; the drawing-room yonder feels like a vault.",Mrs. Fairfax
11,chapter_all_gpt-4o-mini_individual,73,"In what order you keep these rooms, Mrs. Fairfax!",Mrs. Fairfax
11,chapter_all_gpt-4o-mini_individual,74,"No dust, no canvas coverings: except that the air feels chilly, one would think they were inhabited daily.",Mrs. Fairfax
11,chapter_all_gpt-4o-mini_individual,75,"Why, Miss Eyre, though Mr. Rochester’s visits here are rare, they are always sudden and unexpected; and as I observed that it put him out to find everything swathed up, and to have a bustle of arrangement on his arrival, I thought it best to keep the rooms in readiness.",Mrs. Fairfax
11,chapter_all_gpt-4o-mini_individual,76,"Is Mr. Rochester an exacting, fastidious sort of man?",Mrs. Fairfax
11,chapter_all_gpt-4o-mini_individual,77,"Not particularly so; but he has a gentleman’s tastes and habits, and he expects to have things managed in conformity to them.",Mrs. Fairfax
11,chapter_all_gpt-4o-mini_individual,78,Do you like him? Is he generally liked?,Mrs. Fairfax
11,chapter_all_gpt-4o-mini_individual,79,"Oh, yes; the family have always been respected here. Almost all the land in this neighbourhood, as far as you can see, has belonged to the Rochesters time out of mind.",Mrs. Fairfax
11,chapter_all_gpt-4o-mini_individual,80,"Well, but, leaving his land out of the question, do you like him? Is he liked for himself?",Mrs. Fairfax
11,chapter_all_gpt-4o-mini_individual,81,_I_ have no cause to do otherwise than like him; and I believe he is considered a just and liberal landlord by his tenants: but he has never lived much amongst them.,Mrs. Fairfax
11,chapter_all_gpt-4o-mini_individual,82,"But has he no peculiarities? What, in short, is his character?",Mrs. Fairfax
11,chapter_all_gpt-4o-mini_individual,83,"Oh! his character is unimpeachable, I suppose. He is rather peculiar, perhaps: he has travelled a great deal, and seen a great deal of the world, I should think. I dare say he is clever, but I never had much conversation with him.",Mrs. Fairfax
11,chapter_all_gpt-4o-mini_individual,84,In what way is he peculiar?,Mrs. Fairfax
11,chapter_all_gpt-4o-mini_individual,85,"I don’t know—it is not easy to describe—nothing striking, but you feel it when he speaks to you; you cannot be always sure whether he is in jest or earnest, whether he is pleased or the contrary; you don’t thoroughly understand him, in short—at least, I don’t: but it is of no consequence, he is a very good master.",Mrs. Fairfax
11,chapter_all_gpt-4o-mini_individual,86,Do the servants sleep in these rooms?,Jane
11,chapter_all_gpt-4o-mini_individual,87,"No; they occupy a range of smaller apartments to the back; no one ever sleeps here: one would almost say that, if there were a ghost at Thornfield Hall, this would be its haunt.",Mrs. Fairfax
11,chapter_all_gpt-4o-mini_individual,88,"So I think: you have no ghost, then?",Jane
11,chapter_all_gpt-4o-mini_individual,89,"None that I ever heard of,",Mrs. Fairfax
11,chapter_all_gpt-4o-mini_individual,90,Nor any traditions of one? no legends or ghost stories?,Jane
11,chapter_all_gpt-4o-mini_individual,91,"I believe not. And yet it is said the Rochesters have been rather a violent than a quiet race in their time: perhaps, though, that is the reason they rest tranquilly in their graves now.",Mrs. Fairfax
11,chapter_all_gpt-4o-mini_individual,92,"Yes—‘after life’s fitful fever they sleep well,’",Jane
11,chapter_all_gpt-4o-mini_individual,93,"Where are you going now, Mrs. Fairfax?",Jane
11,chapter_all_gpt-4o-mini_individual,94,On to the leads; will you come and see the view from thence?,Mrs. Fairfax
11,chapter_all_gpt-4o-mini_individual,95,Mrs. Fairfax!,Mrs. Fairfax
11,chapter_all_gpt-4o-mini_individual,96,Did you hear that loud laugh? Who is it?,Jane
11,chapter_all_gpt-4o-mini_individual,97,"Some of the servants, very likely,",Mrs. Fairfax
11,chapter_all_gpt-4o-mini_individual,98,perhaps Grace Poole.,Mrs. Fairfax
11,chapter_all_gpt-4o-mini_individual,99,Did you hear it?,Jane
11,chapter_all_gpt-4o-mini_individual,100,"Yes, plainly: I often hear her: she sews in one of these rooms. Sometimes Leah is with her; they are frequently noisy together.",Mrs. Fairfax
11,chapter_all_gpt-4o-mini_individual,101,Grace!,Grace Poole
11,chapter_all_gpt-4o-mini_individual,102,"Too much noise, Grace,",Mrs. Fairfax
11,chapter_all_gpt-4o-mini_individual,103,Remember directions!,Mrs. Fairfax
11,chapter_all_gpt-4o-mini_individual,104,"She is a person we have to sew and assist Leah in her housemaid’s work,",Mrs. Fairfax
11,chapter_all_gpt-4o-mini_individual,105,"not altogether unobjectionable in some points, but she does well enough. By-the-bye, how have you got on with your new pupil this morning?",Mrs. Fairfax
13,chapter_all_gpt-4o-mini_individual,3,"Mr. Rochester would be glad if you and your pupil would take tea with him in the drawing-room this evening,",Mrs. Fairfax
13,chapter_all_gpt-4o-mini_individual,4,he has been so much engaged all day that he could not ask to see you before.,Mrs. Fairfax
13,chapter_all_gpt-4o-mini_individual,5,When is his tea-time?,Jane
13,chapter_all_gpt-4o-mini_individual,6,"Oh, at six o’clock: he keeps early hours in the country. You had better change your frock now; I will go with you and fasten it. Here is a candle.",Mrs. Fairfax
13,chapter_all_gpt-4o-mini_individual,7,Is it necessary to change my frock?,Jane
13,chapter_all_gpt-4o-mini_individual,8,"Yes, you had better: I always dress for the evening when Mr. Rochester is here.",Mrs. Fairfax
13,chapter_all_gpt-4o-mini_individual,9,"You want a brooch,",Mrs. Fairfax
13,chapter_all_gpt-4o-mini_individual,10,"Here is Miss Eyre, sir,",Mrs. Fairfax
13,chapter_all_gpt-4o-mini_individual,11,"Let Miss Eyre be seated,",Mr. Rochester
